,lat,lng,QUANTITY
MARATHON PETROLEUM CORP GALVESTON BAY Texas,29.3782639,-94.9296159,6145584
MARATHON PETROLEUM CORP GARYVILLE Louisiana,30.073235,-90.6038404,6451952
MARATHON PETROLEUM CORP ROBINSON Illinois,39.005895,-87.71296079999999,2506804
MARTIN RESOURCE MANAGEMENT GRP SMACKOVER Arkansas,33.3648455,-92.7248822,69806
PAR PETROLEUM INC KAPOLEI Hawaii,21.3050563,-158.0968078,699212
PAR PETROLEUM INC NEW CASTLE Wyoming,29.77744,-95.54393100000001,147600
PBF ENERGY CO LLC CHALMETTE Louisiana,29.9376238,-89.9683675,2232040
PBF ENERGY CO LLC DELAWARE CITY Delaware,39.5813895,-75.6348761,2125452
PBF ENERGY CO LLC PAULSBORO New Jersey,39.8363695,-75.2509316,1727178
PBF ENERGY CO LLC TOLEDO Ohio,41.6289966,-83.50501969999999,1789432
PBF ENERGY CO LLC TORRANCE California,33.8572596,-118.3371808,2038252
PDV AMERICA INC CORPUS CHRISTI Texas,27.8005828,-97.39638099999999,2145208
PDV AMERICA INC LAKE CHARLES Louisiana,30.2265949,-93.2173758,4881114
PDV AMERICA INC LEMONT Illinois,41.673642,-88.0017261,2043488
PETROBRAS AMERICA INC PASADENA Texas,29.7282015,-95.55537029999999,1052394
PETROMAX REFINING CO LLC HOUSTON Texas,29.7518003,-95.123621,132500
PHILLIPS 66 COMPANY BELLE CHASSE Louisiana,29.6832696,-89.9758775,2528640
PHILLIPS 66 COMPANY BILLINGS Montana,45.7694811,-108.5758455,761382
PHILLIPS 66 COMPANY FERNDALE Washington,48.8327413,-122.6926866,987503
PHILLIPS 66 COMPANY LINDEN New Jersey,40.6497348,-74.2326147,2421144
PHILLIPS 66 COMPANY PONCA CITY Oklahoma,36.6937472,-97.09194459999999,2204192
PHILLIPS 66 COMPANY RODEO California,38.0161306,-122.2365718,1430564
PHILLIPS 66 COMPANY SWEENY Texas,29.0870828,-95.72205869999999,3132730
PHILLIPS 66 COMPANY WESTLAKE Louisiana,30.2414253,-93.275542,2644080
PHILLIPS 66 COMPANY WILMINGTON California,33.7781056,-118.2863007,1786000
PLACID OIL CO PORT ALLEN Louisiana,30.476694,-91.210876,708610
RED APPLE GROUP INC WARREN Pennsylvania,40.75564019999999,-73.9711423,711154
ROYAL DUTCH/SHELL GROUP ANACORTES Washington,48.46565040000001,-122.5599142,1473110
ROYAL DUTCH/SHELL GROUP CONVENT Louisiana,30.1080887,-90.893016,2521062
ROYAL DUTCH/SHELL GROUP MARTINEZ California,38.0251121,-122.1160101,2170812
ROYAL DUTCH/SHELL GROUP NORCO Louisiana,30.0015946,-90.4003851,2448492
ROYAL DUTCH/SHELL GROUP SARALAND Alabama,30.7909103,-88.0581182,747016
SAN JOAQUIN REFINING CO INC BAKERSFIELD California,35.3952203,-119.0457145,185020
SAUDI ARAMCO PORT ARTHUR Texas,29.8872578,-93.96413319999999,6628011
SILVER EAGLE REFINING INC EVANSTON Wyoming,41.2602939,-110.8067864,32450
SILVER EAGLE REFINING INC WOODS CROSS Utah,40.8673016,-111.9115446,99100
SINCLAIR OIL CORP EVANSVILLE Wyoming,42.8567454,-106.2459898,221820
SINCLAIR OIL CORP SINCLAIR Wyoming,41.7818457,-107.1087498,919685
SUNCOR ENERGY INC COMMERCE CITY Colorado,39.804308,-104.9489163,960436
TEXAS OIL & CHEMICAL CO SILSBEE Texas,32.3770275,-94.8696219,51645
TOTAL SA PORT ARTHUR Texas,29.9602411,-93.8884417,2613712
TRAILSTONE LP TACOMA Washington,47.2528768,-122.4442906,328022
TRANSWORLD OIL USA INC LAKE CHARLES Louisiana,30.1345326,-93.31824449999999,700000
VALERO ENERGY CORP ARDMORE Oklahoma,34.2042764,-97.11042189999999,910904
VALERO ENERGY CORP BENICIA California,38.0716899,-122.1392589,1840916
VALERO ENERGY CORP CORPUS CHRISTI Texas,27.8071928,-97.44650209999999,3048689
VALERO ENERGY CORP HOUSTON Texas,29.719887,-95.2544075,1692872
VALERO ENERGY CORP MEMPHIS Tennessee,35.0865543,-90.079549,1650992
VALERO ENERGY CORP MERAUX Louisiana,29.9300368,-89.9438245,1216548
VALERO ENERGY CORP NORCO Louisiana,29.9863603,-90.3924576,3003670
VALERO ENERGY CORP PORT ARTHUR Texas,29.8644365,-93.96299909999999,4172893
VALERO ENERGY CORP SUNRAY Texas,35.9513169,-101.8776369,1813510
VALERO ENERGY CORP TEXAS CITY Texas,29.3688933,-94.9133607,2595680
VALERO ENERGY CORP THREE RIVERS Texas,28.4584671,-98.18485729999999,994895
VALERO ENERGY CORP WILMINGTON ASPHALT PLANT California,33.7772596,-118.231299,49100
VALERO ENERGY CORP WILMINGTON REFINERY California,33.7772596,-118.231299,1179060
WORLD OIL CO SOUTH GATE California,33.9452514,-118.1654699,64500
WRB REFINING LP BORGER Texas,35.688467,-101.3667638,1768400
WRB REFINING LP WOOD RIVER Illinois,38.83731849999999,-90.0733856,3784616
